Step Number,Energy per particle,Pressure
0, -0.06062932946016302, 0.007789857092962717
10000, -0.064371300294336, 0.007648924429630263
20000, -0.06977147958369494, 0.007449560436540685
30000, -0.06572291872316315, 0.007630942868603745
40000, -0.06627209029236047, 0.007655124154099186
50000, -0.07504530076320144, 0.007599010652610645
60000, -0.07548680995691892, 0.008047319854285544
70000, -0.08111220427819811, 0.007731233561333828
80000, -0.08103548343166057, 0.0075899797237759395
90000, -0.08334681648705605, 0.007461689273988939
