Step Number,Energy per particle,Pressure
0, -0.0673745193012638, 0.012940499974658324
10000, -0.06651171760838942, 0.013146018333872952
20000, -0.06343774368582653, 0.012920196033084553
30000, -0.05465059941676382, 0.012913467887658006
40000, -0.06245896044587365, 0.013229163195063289
50000, -0.05853395454404218, 0.013288109396090781
60000, -0.060467284916161206, 0.012973377141412945
70000, -0.05915798384711055, 0.013180088996227746
80000, -0.07686464752833441, 0.013151255373973835
90000, -0.06171130939714998, 0.013224561596946844
